Message,Level,Career
"Major area of research of interest and preference lies in the field of Electronics. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Entry,Electrical
"A talented, dedicated, self-motivated and trusted individual who has been working around in the IT Industry for years. I am looking for a challenging position to enhance my skills and provide my valuable inputs to the company. I am sure I will be an assert to the company with the knowledge and experience I have.",Experienced,IT
"A talented, dedicated, self-motivated and trusted individual who has been working around in the Automobile Industry for years. I am looking for a challenging position to enhance my skills and provide my valuable inputs to the company. I am sure I will be an assert to the company with the knowledge and experience I have.",Experienced,Automobile
"A talented, dedicated, self-motivated and trusted individual who has been working around in the Mechanical Industry for years. I am looking for a challenging position to enhance my skills and provide my valuable inputs to the company. I am sure I will be an assert to the company with the knowledge and experience I have.",Experienced,Mechanical
"A talented, dedicated, self-motivated and trusted individual who has been working around in the Electrical Industry for years. I am looking for a challenging position to enhance my skills and provide my valuable inputs to the company. I am sure I will be an assert to the company with the knowledge and experience I have.",Experienced,Electrical
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Entry,IT
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Entry,Automobile
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Entry,Mechanical
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Entry,Electrical
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Experienced,IT
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Experienced,Automobile
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Experienced,Mechanical
To obtain a position where my knowledge and experience can be utilized as well as enhanced. Seeking new opportunities in the corporate arena. Motivated self-starter with strong organizational abilities seeking corporate opportunities.,Experienced,Electrical
"I am currently looking for a full time position in an IT company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Entry,IT
"I am currently looking for a full time position in an Automobile company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Entry,Automobile
"I am currently looking for a full time position in an Mechanical company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Entry,Mechanical
"I am currently looking for a full time position in an Electrical company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Entry,Electrical
"I am currently looking for a full time position in an IT company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Experienced,IT
"I am currently looking for a full time position in an Automobile company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Experienced,Automobile
"I am currently looking for a full time position in an Mechanical company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Experienced,Mechanical
"I am currently looking for a full time position in an Electrical company that offers a greater challenge, increased benefits for my family, and the opportunity to help the company advance efficiently and productively",Experienced,Electrical
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Entry,IT
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Entry,Automobile
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Entry,Mechanical
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Entry,Electrical
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Experienced,IT
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Experienced,Automobile
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Experienced,Mechanical
"My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company’s productivity and reputation.To secure a position with a stable and profitable organization, where I can be a member of a team and utilize my business experience to the fullest.",Experienced,Electrical
Seek to work in an environment that will challenge me further; while allowing me to contribute to the continued growth and success of the organization. Obtain a position that will provide me the ability to apply my work experience to a growing industry.,Experienced,IT
Seek to work in an environment that will challenge me further; while allowing me to contribute to the continued growth and success of the organization. Obtain a position that will provide me the ability to apply my work experience to a growing industry.,Experienced,Automobile
Seek to work in an environment that will challenge me further; while allowing me to contribute to the continued growth and success of the organization. Obtain a position that will provide me the ability to apply my work experience to a growing industry.,Experienced,Mechanical
Seek to work in an environment that will challenge me further; while allowing me to contribute to the continued growth and success of the organization. Obtain a position that will provide me the ability to apply my work experience to a growing industry.,Experienced,Electrical
"An able, enthusiastic, skilled, and reliable computer technician seeking a position that reflects my experience, skills, and personal attributes including dedication, meeting goals, creativity, and the ability to follow through.",Experienced,IT
"An able, enthusiastic, skilled, and reliable Automobile technician seeking a position that reflects my experience, skills, and personal attributes including dedication, meeting goals, creativity, and the ability to follow through.",Experienced,Automobile
"An able, enthusiastic, skilled, and reliable Mechanical technician seeking a position that reflects my experience, skills, and personal attributes including dedication, meeting goals, creativity, and the ability to follow through.",Experienced,Mechanical
"An able, enthusiastic, skilled, and reliable Electrical technician seeking a position that reflects my experience, skills, and personal attributes including dedication, meeting goals, creativity, and the ability to follow through.",Experienced,Electrical
